block_id,block_start_time,block_end_time,rows,positive_count,positive_rate,p_adic_tree_scan_llr,tree_scan_depth,tree_scan_node,tree_scan_observed,tree_scan_expected,tree_scan_support_ok,p_adic_conditional_tree_scan_llr,conditional_tree_scan_depth,conditional_tree_scan_node,conditional_tree_scan_parent_node,conditional_tree_scan_observed,conditional_tree_scan_parent_observed,conditional_tree_scan_expected,conditional_tree_scan_support_ok,flat_tuple_scan_llr,marginal_column_scan_llr,reversed_hierarchy_tree_scan_llr,random_hierarchy_tree_scan_llr_seed_11,random_hierarchy_tree_scan_llr_seed_17,random_hierarchy_tree_scan_llr_seed_23,random_hierarchy_tree_scan_llr_seed_31,random_hierarchy_tree_scan_llr_seed_47,category_entropy_temporal,transaction_count_signal
26,11848226.0,11913539.0,1845,38,0.020596205962059622,43.88290449075927,1,0,1551,1385.1701488308654,True,10.842682844914492,4,461405,7443,21,26,9.419458087302026,True,12.69783273391894,51.14406261285865,14.022833098396362,12.69783273391894,13.280816180018732,12.69783273391894,12.69783273391894,43.88290449075927,6.430721182963682,1845.0
27,11913547.0,11977154.0,1846,64,0.03466955579631636,32.61407515347395,1,0,1530,1385.920918559229,True,7.453110640827175,5,138458410,0,4,16,0.27586206896551724,True,8.257688191686892,41.777405488051954,16.53513506282372,17.340535417305645,19.845037592349136,19.42613074513976,16.53513506282372,32.61407515347395,6.374005422784517,1846.0
28,11977187.0,12016025.0,1845,66,0.03577235772357724,37.961376628603574,1,0,1540,1385.1701488308654,True,8.294895864269208,5,41772008,234485,7,8,1.6433050940697547,True,5.335872728071088,37.961376628603574,12.733768414176154,5.335872728071088,13.53768687643587,12.026438528615557,5.335872728071088,37.961376628603574,6.399294717028905,1845.0
29,12016087.0,12083163.0,1846,37,0.020043336944745395,34.54295960188871,1,0,1534,1385.920918559229,True,12.803011914417675,4,461466,7504,44,54,26.03665644688521,True,8.439993205162992,35.72191558054885,8.439993205162992,9.351109350694202,8.439993205162992,10.657349308006161,8.439993205162992,34.54295960188871,6.446668271005146,1846.0
30,12083207.0,12152820.0,1845,77,0.04173441734417344,21.081557101268302,1,0,1502,1385.1701488308654,True,8.24060799380329,4,688448,7505,18,65,6.402550588492312,True,10.26101577478081,21.247952808541385,14.011793865038243,14.011793865038243,10.26101577478081,10.26101577478081,14.011793865038243,21.081557101268302,6.618258526315807,1845.0
31,12152843.0,12192842.0,1845,56,0.03035230352303523,18.55013705930824,1,0,1495,1385.1701488308654,True,12.33575589946949,5,28153088,461406,7,24,0.5501918804281963,True,11.680920248243927,18.55013705930824,11.680920248243927,11.680920248243927,11.680920248243927,11.680920248243927,11.680920248243927,18.55013705930824,6.7162297208735255,1845.0
32,12192900.0,12256669.0,1846,86,0.04658721560130011,21.9192983108169,1,0,1505,1385.920918559229,True,8.620256348683135,4,911707,3783,10,24,2.2841135274603763,True,15.56442130429626,28.451416730936984,16.403190113311595,15.56442130429626,15.56442130429626,20.908169011564894,15.56442130429626,21.9192983108169,6.555235471521916,1846.0
33,12256694.0,12327346.0,1845,89,0.048238482384823846,37.961376628603574,1,0,1540,1385.1701488308654,True,11.593864602052452,5,28153148,461466,9,35,1.159021193530396,True,20.114396143286243,45.98771028432648,20.114396143286243,20.114396143286243,20.114396143286243,34.507747276226524,20.114396143286243,37.961376628603574,6.193419585792121,1845.0
34,12327384.0,12400129.0,1846,82,0.044420368364030335,38.06738971310372,1,0,1541,1385.920918559229,True,18.770714875201264,4,461406,7444,35,55,13.48726549881973,True,6.538756911974622,42.83803291557385,9.90334059474649,15.72327468720269,9.777979297579858,20.607426513001442,6.538756911974622,38.06738971310372,6.316442527291434,1846.0
35,12400202.0,12450685.0,1845,44,0.023848238482384824,41.1314821616331,1,0,1546,1385.1701488308654,True,6.130425661959738,5,69459969,230764,2,2,0.09328782707622298,True,7.284448195297028,47.67221217474162,8.010286590013663,9.778857901370387,7.925154415893276,11.32399562664827,7.284448195297028,41.1314821616331,6.412901458174975,1845.0
36,12450693.0,12518451.0,1846,72,0.0390032502708559,64.7828576177119,1,0,1585,1385.920918559229,True,5.771742490928268,2,0,0,320,1585,268.06643556900286,True,7.765995204035374,64.7828576177119,10.881529158113436,7.765995204035374,9.52435838202326,22.778649959379123,7.765995204035374,64.7828576177119,6.283900457922092,1846.0
37,12518459.0,12586136.0,1845,50,0.02710027100271003,62.56730176749949,1,0,1581,1385.1701488308654,True,8.795285107650276,5,609220786,3782,4,419,0.17112573336358627,True,9.407141538168021,73.5074172531111,12.913515923958478,9.407141538168021,12.248874338603123,13.683356740062877,9.407141538168021,62.56730176749949,6.326445025862631,1845.0
38,12586145.0,12628594.0,1846,61,0.03304442036836403,26.764004811218058,1,0,1517,1385.920918559229,True,8.059115531964519,5,70148294,919089,15,17,7.079852579852579,True,5.73091554010602,28.026850718070534,6.133383599921181,5.900866827603831,7.460403190955328,14.045402848018526,5.900866827603831,26.764004811218058,6.629191084540166,1846.0
39,12628678.0,12690519.0,1845,52,0.028184281842818428,39.52861208932367,1,0,1543,1385.1701488308654,True,12.067849010977003,4,688387,7444,17,54,4.421170331718225,True,10.688157646920667,39.52861208932367,15.264838753829395,11.668085692077995,15.264838753829395,14.65304240273582,11.668085692077995,39.52861208932367,6.522047624230521,1845.0
40,12690525.0,12757458.0,1845,62,0.03360433604336043,26.70073111594047,2,61,1297,1147.3493499378833,True,11.139477225377407,5,443524657,457745,4,18,0.10458232843674632,True,10.075478608602497,26.6788159958719,10.535257133569907,12.118225742062322,10.075478608602497,15.682387337618138,10.075478608602497,23.390915962188373,6.497316959739749,1845.0
41,12757480.0,12793742.0,1846,36,0.01950162513542795,26.764004811218058,1,0,1517,1385.920918559229,True,7.439601782588026,5,498911682,461406,3,20,0.10300949303171077,True,7.194214624859684,28.87945545963734,7.194214624859684,8.973420567919803,7.194214624859684,15.053221866149627,8.973420567919803,26.764004811218058,6.588871776160264,1846.0
42,12793761.0,12858059.0,1845,53,0.02872628726287263,10.88319097878447,4,7503,871,771.6552850970379,True,9.289127267127416,5,388145014,461466,6,40,0.5493586168432795,True,9.94198444158297,8.59570058299829,9.94198444158297,9.94198444158297,10.08111480198539,10.88319097878447,9.94198444158297,10.08111480198539,6.702149842688549,1845.0
43,12858068.0,12929784.0,1846,66,0.035752979414951244,36.030087919460456,1,0,1537,1385.920918559229,True,12.297812522434107,5,14764930,919089,11,12,2.9434889434889433,True,7.681100878435675,38.18126236235122,13.149341495066695,10.846759055403268,13.857069017724053,21.211078787719856,9.943640368762019,36.030087919460456,6.4006649343204725,1846.0
44,12929811.0,12998016.0,1845,39,0.02113821138211382,92.87699966452607,1,0,1620,1385.1701488308654,True,12.052809638489336,3,7503,61,994,1336,912.0856500660195,True,15.953309793691844,104.33277727647757,15.953309793691844,15.953309793691844,15.953309793691844,54.51533909533026,21.177595210993843,92.87699966452607,5.974535469472157,1845.0
45,12998423.0,13049929.0,1846,59,0.031960996749729145,26.45992882727259,2,61,1297,1147.9712195042455,True,10.365209636947938,5,443528378,461466,4,27,0.12235080870050195,True,9.284649772236095,27.605750047987343,9.284649772236095,18.351482434369657,9.284649772236095,17.719219431956333,9.284649772236095,21.9192983108169,6.561401613065414,1846.0
46,13049940.0,13113424.0,1845,73,0.03956639566395664,22.60669604478231,1,0,1506,1385.1701488308654,True,8.664753730541097,4,461466,7504,34,43,20.73289309659378,True,6.8294656895959935,30.084008321940743,6.8294656895959935,7.323095753075629,6.8294656895959935,15.945150368636348,8.490503928020146,22.60669604478231,6.609417793817206,1845.0
47,13113432.0,13151840.0,1845,57,0.030894308943089432,39.00225490310706,1,0,1542,1385.1701488308654,True,5.974084953302482,4,3721,3721,79,79,73.24621131835524,True,10.56905612525479,49.39091028519201,10.797089603318696,18.27378447398945,10.56905612525479,29.65400263064808,14.239856592856867,39.00225490310706,6.317755708475243,1845.0
48,13151880.0,13199298.0,1846,50,0.027085590465872156,87.05271857322748,1,0,1614,1385.920918559229,True,22.193742678944062,3,3782,61,564,1408,445.3550562930261,True,35.575019918503756,96.60681972047968,35.575019918503756,35.575019918503756,35.575019918503756,63.74796965845891,37.13720118144673,87.05271857322748,6.006711654080229,1846.0
49,13199300.0,13230230.0,1845,49,0.026558265582655827,77.21357978952625,1,0,1601,1385.1701488308654,True,17.086909146453763,3,3782,61,545,1396,441.55941660871054,True,32.64134217007705,88.10874859573357,32.64134217007705,43.507318774001305,32.64134217007705,54.09890404163178,38.150546534272905,77.21357978952625,5.93529422438991,1845.0
50,13230244.0,13293667.0,1846,64,0.03466955579631636,28.68001006751615,2,61,1303,1147.9712195042455,True,5.108960809095574,5,193845556,3782,4,417,0.46226702538005254,True,5.659857909540422,32.42968270424922,6.869411511548243,16.039993590916254,6.869411511548243,11.899483624446148,5.659857909540422,27.191566134326948,6.445757872006197,1846.0
51,13293723.0,13350776.0,1845,85,0.04607046070460705,48.583560025905314,5,28149428,19,0.5609060371197477,True,43.57525405683915,5,28149428,457746,19,38,0.9842251119164357,True,48.583560025905314,49.15614708304662,64.65526756578127,48.583560025905314,83.32617972352813,48.583560025905314,48.583560025905314,60.85637408077761,6.324373663558776,1845.0
52,13350788.0,13379848.0,1846,33,0.017876489707475622,112.6071571769939,2,61,1448,1147.9712195042455,True,39.326553637937764,3,3782,61,619,1448,458.007188574078,True,50.04795132847089,101.83059049027443,50.04795132847089,65.30073991991586,50.04795132847089,99.6796071259678,73.46134425109315,92.16419151801162,5.77364955202176,1846.0
53,13379849.0,13440104.0,1845,96,0.05203252032520325,40.14462120165737,2,61,1330,1147.3493499378833,True,19.935917025717174,2,61,0,1330,1500,1242.469706001693,True,12.225016820418382,37.7066423537525,12.225016820418382,37.7066423537525,12.225016820418382,18.716225551474665,15.229687521757725,20.34050754369926,6.330799537093268,1845.0
54,13440144.0,13470993.0,1846,49,0.026543878656554713,59.3156720959372,1,0,1577,1385.920918559229,True,7.083558767663405,2,61,0,1361,1577,1306.2498175764467,True,7.665274422326506,59.92554512423743,12.655382771805805,27.13551618984127,11.002940387175613,22.188534244918202,8.580890517174566,59.3156720959372,6.104143124671974,1846.0
55,13471012.0,13540788.0,1845,23,0.012466124661246613,40.05892862805497,1,0,1544,1385.1701488308654,True,8.009870001561335,4,461467,7505,45,68,28.606461126737486,True,6.949530347996023,43.794465464896575,10.072066470240514,16.935345774324077,6.949530347996023,10.075593575118646,10.072066470240514,40.05892862805497,6.332236191003346,1845.0
56,13540791.0,13609625.0,1845,50,0.02710027100271003,32.454969303697425,2,61,1312,1147.3493499378833,True,19.36491986624212,5,208145300,457685,7,21,0.19941757406938465,True,19.083563883707285,30.97018788121555,20.73367854823038,21.48535711965252,19.083563883707285,19.083563883707285,19.083563883707285,22.60669604478231,6.50181522982882,1845.0
57,13609717.0,13655985.0,1846,60,0.032502708559046585,43.437055527377225,1,0,1551,1385.920918559229,True,13.607073120985914,4,457745,3783,34,34,22.78614080353852,True,5.642006659192983,48.365607647186295,10.536700248656128,10.536700248656128,10.856252494750604,18.56291920864828,10.536700248656128,43.437055527377225,6.40447848027842,1846.0
58,13655986.0,13721074.0,1845,43,0.023306233062330622,26.25049073991883,1,0,1515,1385.1701488308654,True,5.8160983004459865,4,461466,7504,39,55,26.51881675145716,True,4.573561541756046,30.525342748914795,9.2816385722069,7.59981528298379,5.530656520534546,6.98533005146011,4.573561541756046,26.25049073991883,6.50663249987694,1845.0
59,13721139.0,13781163.0,1846,76,0.041170097508125676,12.498839173573629,2,61,1251,1147.9712195042455,True,12.304580393511523,4,461405,7443,37,53,19.201203024115667,True,10.55258640848201,15.300332657264875,10.55258640848201,10.55258640848201,10.55258640848201,11.259545581580824,10.55258640848201,11.768751546411522,6.657429941186689,1846.0
60,13781180.0,13821672.0,1845,43,0.023306233062330622,356.58831217923137,4,15006,131,3.364927216867787,True,341.8773009429461,2,122,0,131,1546,3.8025217029760503,True,128.46706792464448,418.31796256487036,128.46706792464448,418.31796256487036,128.46706792464448,418.1341735623705,419.2422869450294,355.0027591499154,7.253560656973728,1845.0
61,13821695.0,13888112.0,1846,43,0.023293607800650054,2071.450822413608,3,15006,500,3.4086707332666433,True,2068.382073549667,2,122,0,500,1459,3.5885376226662724,True,820.1237336662816,2508.9409031055197,820.1237336662816,2508.9409031055197,828.134025224985,2508.2093137649786,2512.6200027205496,2071.437101562438,8.032452586224348,1846.0
62,13888130.0,13948977.0,1845,55,0.02981029810298103,28.833521072246526,4,461405,53,15.18264410909761,True,21.30170390019498,5,360907233,915367,8,19,0.2684191702432046,True,22.44899584526649,19.652169826469972,22.44899584526649,22.44899584526649,22.44899584526649,28.833521072246526,22.44899584526649,22.44899584526649,7.0984536976579165,1845.0
